date,time_minus_12hours,currency,event,impact,datetime,all_day,actual,forecast,currency_strength
 Mar 27,11:10pm,CHF,Gov Board Member Schlegel Speaks,Low,2024-03-27 23:10:00,False,,,
 Mar 28,3:30am,USD,FOMC Member Waller Speaks,High,2024-03-28 03:30:00,False,,,
 Mar 28,5:20am,JPY,BOJ Summary of Opinions,Low,2024-03-28 05:20:00,False,,,
 Mar 28,5:30am,AUD,MI Inflation Expectations,Low,2024-03-28 05:30:00,False,4.3%,,
 Mar 28,5:30am,NZD,ANZ Business Confidence,Low,2024-03-28 05:30:00,False,22.9,,
 Mar 28,6:00am,AUD,Retail Sales m/m,Medium,2024-03-28 06:00:00,False,0.3%,0.4%,worse
 Mar 28,6:00am,AUD,Private Sector Credit m/m,Low,2024-03-28 06:00:00,False,0.5%,0.4%,better
 Mar 28,12:30pm,EUR,German Retail Sales m/m,Low,2024-03-28 12:30:00,False,-1.9%,0.4%,worse
 Mar 28,12:30pm,GBP,Current Account,Low,2024-03-28 12:30:00,False,-21.2B,-21.3B,
 Mar 28,12:30pm,GBP,Final GDP q/q,Low,2024-03-28 12:30:00,False,-0.3%,-0.3%,
 Mar 28,12:30pm,GBP,Revised Business Investment q/q,Low,2024-03-28 12:30:00,False,1.4%,1.5%,
 Mar 28,1:30pm,CHF,KOF Economic Barometer,Low,2024-03-28 13:30:00,False,101.5,102.1,worse
 Mar 28,2:25pm,EUR,German Unemployment Change,Low,2024-03-28 14:25:00,False,4K,10K,better
 Mar 28,2:30pm,EUR,M3 Money Supply y/y,Low,2024-03-28 14:30:00,False,0.4%,0.3%,
 Mar 28,2:30pm,EUR,Private Loans y/y,Low,2024-03-28 14:30:00,False,0.3%,0.4%,worse
 Mar 28,6:00pm,CAD,GDP m/m,High,2024-03-28 18:00:00,False,0.6%,0.4%,better
 Mar 28,6:00pm,USD,Final GDP q/q,High,2024-03-28 18:00:00,False,3.4%,3.2%,better
 Mar 28,6:00pm,USD,Unemployment Claims,High,2024-03-28 18:00:00,False,210K,212K,
 Mar 28,6:00pm,USD,Final GDP Price Index q/q,Medium,2024-03-28 18:00:00,False,1.6%,1.6%,
 Mar 28,7:15pm,USD,Chicago PMI,Medium,2024-03-28 19:15:00,False,41.4,45.9,worse
 Mar 28,7:30pm,USD,Pending Home Sales m/m,High,2024-03-28 19:30:00,False,1.6%,1.4%,better
 Mar 28,7:30pm,USD,Revised UoM Consumer Sentiment,High,2024-03-28 19:30:00,False,79.4,76.5,better
 Mar 28,7:30pm,USD,Revised UoM Inflation Expectations,Low,2024-03-28 19:30:00,False,2.9%,,
 Mar 28,8:00pm,USD,Natural Gas Storage,Low,2024-03-28 20:00:00,False,-36B,-26B,better
 Mar 29,All Day,NZD,Bank Holiday,None,2024-03-29 00:00:00,True,,,
 Mar 29,All Day,AUD,Bank Holiday,None,2024-03-29 00:00:00,True,,,
 Mar 29,5:00am,JPY,Tokyo Core CPI y/y,Medium,2024-03-29 05:00:00,False,2.4%,2.4%,
 Mar 29,5:00am,JPY,Unemployment Rate,Low,2024-03-29 05:00:00,False,2.6%,2.4%,worse
 Mar 29,5:20am,JPY,Prelim Industrial Production m/m,Low,2024-03-29 05:20:00,False,-0.1%,1.2%,worse
 Mar 29,5:20am,JPY,Retail Sales y/y,Low,2024-03-29 05:20:00,False,4.6%,2.8%,better
 Mar 29,10:30am,JPY,Housing Starts y/y,Low,2024-03-29 10:30:00,False,-8.2%,-5.4%,worse
 Mar 29,All Day,CHF,Bank Holiday,None,2024-03-29 00:00:00,True,,,
 Mar 29,All Day,EUR,German Bank Holiday,None,2024-03-29 00:00:00,True,,,
 Mar 29,All Day,GBP,Bank Holiday,None,2024-03-29 00:00:00,True,,,
 Mar 29,1:15pm,EUR,French Consumer Spending m/m,Low,2024-03-29 13:15:00,False,0.0%,0.3%,worse
 Mar 29,1:15pm,EUR,French Prelim CPI m/m,Low,2024-03-29 13:15:00,False,0.2%,0.5%,worse
 Mar 29,3:30pm,EUR,Italian Prelim CPI m/m,Low,2024-03-29 15:30:00,False,0.1%,0.1%,
 Mar 29,All Day,CAD,Bank Holiday,None,2024-03-29 00:00:00,True,,,
 Mar 29,6:00pm,USD,Core PCE Price Index m/m,High,2024-03-29 18:00:00,False,0.3%,0.3%,
 Mar 29,6:00pm,USD,Goods Trade Balance,Low,2024-03-29 18:00:00,False,-91.8B,-90.1B,worse
 Mar 29,6:00pm,USD,Personal Income m/m,Low,2024-03-29 18:00:00,False,0.3%,0.4%,worse
 Mar 29,6:00pm,USD,Personal Spending m/m,Low,2024-03-29 18:00:00,False,0.8%,0.5%,better
 Mar 29,6:00pm,USD,Prelim Wholesale Inventories m/m,Low,2024-03-29 18:00:00,False,0.5%,0.2%,worse
 Mar 29,8:50pm,USD,FOMC Member Daly Speaks,Low,2024-03-29 20:50:00,False,,,
 Mar 29,9:00pm,USD,Fed Chair Powell Speaks,High,2024-03-29 21:00:00,False,,,
 Mar 31,6:30am,CHF,Daylight Saving Time Shift,None,2024-03-31 06:30:00,False,,,
 Mar 31,6:30am,EUR,Daylight Saving Time Shift,None,2024-03-31 06:30:00,False,,,
 Mar 31,6:30am,GBP,Daylight Saving Time Shift,None,2024-03-31 06:30:00,False,,,
 Mar 31,7:00am,CNY,Manufacturing PMI,High,2024-03-31 07:00:00,False,50.8,50.1,better
 Mar 31,7:00am,CNY,Non-Manufacturing PMI,Medium,2024-03-31 07:00:00,False,53.0,51.3,better
 Apr 1,All Day,NZD,Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,All Day,AUD,Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,5:20am,JPY,Tankan Manufacturing Index,Low,2024-04-01 05:20:00,False,11,10,better
 Apr 1,5:20am,JPY,Tankan Non-Manufacturing Index,Low,2024-04-01 05:20:00,False,34,31,better
 Apr 1,6:00am,JPY,Final Manufacturing PMI,Low,2024-04-01 06:00:00,False,48.2,48.2,
 Apr 1,7:15am,CNY,Caixin Manufacturing PMI,Low,2024-04-01 07:15:00,False,51.1,51.0,
 Apr 1,All Day,CHF,Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,All Day,EUR,French Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,All Day,EUR,German Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,All Day,EUR,Italian Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,All Day,GBP,Bank Holiday,None,2024-04-01 00:00:00,True,,,
 Apr 1,7:00pm,CAD,Manufacturing PMI,Low,2024-04-01 19:00:00,False,49.8,,
 Apr 1,7:15pm,USD,Final Manufacturing PMI,Low,2024-04-01 19:15:00,False,51.9,52.5,worse
 Apr 1,7:30pm,USD,ISM Manufacturing PMI,High,2024-04-01 19:30:00,False,50.3,48.5,better
 Apr 1,7:30pm,USD,ISM Manufacturing Prices,Medium,2024-04-01 19:30:00,False,55.8,53.3,better
 Apr 1,7:30pm,USD,Construction Spending m/m,Low,2024-04-01 19:30:00,False,-0.3%,0.7%,worse
 Apr 1,8:00pm,CAD,BOC Business Outlook Survey,Medium,2024-04-01 20:00:00,False,,,
 Apr 2,3:40am,AUD,RBA Assist Gov Kent Speaks,Low,2024-04-02 03:40:00,False,,,
 Apr 2,4:20am,USD,FOMC Member Cook Speaks,Low,2024-04-02 04:20:00,False,,,
 Apr 2,4:31am,GBP,BRC Shop Price Index y/y,Low,2024-04-02 04:31:00,False,1.3%,,
 Apr 2,5:20am,JPY,Monetary Base y/y,Low,2024-04-02 05:20:00,False,1.6%,2.5%,
 Apr 2,5:30am,AUD,MI Inflation Gauge m/m,Low,2024-04-02 05:30:00,False,0.1%,,
 Apr 2,6:00am,AUD,Monetary Policy Meeting Minutes,Medium,2024-04-02 06:00:00,False,,,
 Apr 2,6:00am,AUD,ANZ Job Advertisements m/m,Low,2024-04-02 06:00:00,False,-1.0%,,
 Apr 2,9:05am,JPY,10-y Bond Auction,Low,2024-04-02 09:05:00,False,0.75|3.8,,
 Apr 2,11:30am,GBP,Nationwide HPI m/m,Low,2024-04-02 11:30:00,False,-0.2%,0.4%,worse
 Apr 2,11:40am,AUD,Commodity Prices y/y,Low,2024-04-02 11:40:00,False,-15.3%,,
 Apr 2,All Day,EUR,German Prelim CPI m/m,High,2024-04-02 00:00:00,True,0.4%,0.5%,worse
 Apr 2,12:00pm,CHF,Retail Sales y/y,Low,2024-04-02 12:00:00,False,-0.2%,0.4%,worse
 Apr 2,12:15pm,EUR,French Gov Budget Balance,Low,2024-04-02 12:15:00,False,,,
 Apr 2,12:30pm,EUR,Spanish Unemployment Change,Low,2024-04-02 12:30:00,False,-33.4K,10.0K,better
 Apr 2,12:45pm,EUR,Spanish Manufacturing PMI,Low,2024-04-02 12:45:00,False,51.4,51.1,
 Apr 2,1:00pm,CHF,Manufacturing PMI,Low,2024-04-02 13:00:00,False,45.2,45.0,
 Apr 2,1:15pm,EUR,Italian Manufacturing PMI,Low,2024-04-02 13:15:00,False,50.4,48.9,better
 Apr 2,1:20pm,EUR,French Final Manufacturing PMI,Low,2024-04-02 13:20:00,False,46.2,45.8,better
 Apr 2,1:25pm,EUR,German Final Manufacturing PMI,Low,2024-04-02 13:25:00,False,41.9,41.6,
 Apr 2,1:30pm,EUR,Final Manufacturing PMI,Low,2024-04-02 13:30:00,False,46.1,45.7,better
 Apr 2,2:00pm,GBP,Final Manufacturing PMI,Low,2024-04-02 14:00:00,False,50.3,49.9,better
 Apr 2,2:00pm,GBP,M4 Money Supply m/m,Low,2024-04-02 14:00:00,False,0.5%,0.2%,better
 Apr 2,2:00pm,GBP,Mortgage Approvals,Low,2024-04-02 14:00:00,False,60K,57K,better
 Apr 2,2:00pm,GBP,Net Lending to Individuals m/m,Low,2024-04-02 14:00:00,False,2.9B,1.2B,better
 Apr 2,7:30pm,USD,JOLTS Job Openings,High,2024-04-02 19:30:00,False,8.76M,8.76M,
 Apr 2,7:30pm,USD,Factory Orders m/m,Low,2024-04-02 19:30:00,False,1.4%,1.1%,better
 Apr 2,7:40pm,USD,FOMC Member Bowman Speaks,Low,2024-04-02 19:40:00,False,,,
 Apr 2,All Day,USD,Wards Total Vehicle Sales,Low,2024-04-02 00:00:00,True,15.5M,15.9M,worse
 Apr 2,8:32pm,NZD,GDT Price Index,Low,2024-04-02 20:32:00,False,2.8%,,
 Apr 2,9:30pm,USD,FOMC Member Williams Speaks,Low,2024-04-02 21:30:00,False,,,
 Apr 2,9:35pm,USD,FOMC Member Mester Speaks,Medium,2024-04-02 21:35:00,False,,,
 Apr 2,11:00pm,USD,FOMC Member Daly Speaks,Low,2024-04-02 23:00:00,False,,,
 Apr 3,7:15am,CNY,Caixin Services PMI,Low,2024-04-03 07:15:00,False,52.7,52.5,
 Apr 3,12:15pm,EUR,French Gov Budget Balance,Low,2024-04-03 12:15:00,False,-44.0B,,
 Apr 3,1:30pm,EUR,Italian Monthly Unemployment Rate,Low,2024-04-03 13:30:00,False,7.5%,7.2%,worse
 Apr 3,2:30pm,EUR,Core CPI Flash Estimate y/y,Medium,2024-04-03 14:30:00,False,2.9%,3.0%,worse
 Apr 3,2:30pm,EUR,CPI Flash Estimate y/y,Medium,2024-04-03 14:30:00,False,2.4%,2.5%,worse
 Apr 3,2:30pm,EUR,Unemployment Rate,Low,2024-04-03 14:30:00,False,6.5%,6.4%,worse
 Apr 3,All Day,All,OPEC-JMMC Meetings,Medium,2024-04-03 00:00:00,True,,,
 Apr 3,3:03pm,EUR,German 10-y Bond Auction,Low,2024-04-03 15:03:00,False,2.38|2.0,,
 Apr 3,5:45pm,USD,ADP Non-Farm Employment Change,High,2024-04-03 17:45:00,False,184K,148K,better
 Apr 3,6:00pm,USD,FOMC Member Bostic Speaks,Low,2024-04-03 18:00:00,False,,,
 Apr 3,7:15pm,USD,Final Services PMI,Medium,2024-04-03 19:15:00,False,51.7,51.7,
 Apr 3,7:15pm,USD,FOMC Member Bowman Speaks,Low,2024-04-03 19:15:00,False,,,
 Apr 3,7:30pm,USD,ISM Services PMI,High,2024-04-03 19:30:00,False,51.4,52.8,worse
 Apr 3,8:00pm,USD,Crude Oil Inventories,Low,2024-04-03 20:00:00,False,3.2M,-0.3M,worse
 Apr 3,9:40pm,USD,Fed Chair Powell Speaks,High,2024-04-03 21:40:00,False,,,
 Apr 3,10:40pm,USD,FOMC Member Barr Speaks,Low,2024-04-03 22:40:00,False,,,
 Apr 4,2:00am,USD,FOMC Member Kugler Speaks,Low,2024-04-04 02:00:00,False,,,
 Apr 4,3:15am,NZD,Building Consents m/m,Low,2024-04-04 03:15:00,False,14.9%,,
 Apr 4,5:30am,NZD,ANZ Commodity Prices m/m,Low,2024-04-04 05:30:00,False,-1.3%,,
 Apr 4,All Day,CNY,Bank Holiday,None,2024-04-04 00:00:00,True,,,
 Apr 4,6:00am,AUD,Building Approvals m/m,Low,2024-04-04 06:00:00,False,-1.9%,3.0%,worse
 Apr 4,9:05am,JPY,30-y Bond Auction,Low,2024-04-04 09:05:00,False,1.81|3.5,,
 Apr 4,12:00pm,CHF,CPI m/m,High,2024-04-04 12:00:00,False,0.0%,0.3%,worse
 Apr 4,12:45pm,EUR,Spanish Services PMI,Low,2024-04-04 12:45:00,False,56.1,55.5,better
 Apr 4,1:15pm,EUR,Italian Services PMI,Low,2024-04-04 13:15:00,False,54.6,53.0,better
 Apr 4,1:20pm,EUR,French Final Services PMI,Low,2024-04-04 13:20:00,False,48.3,47.8,better
 Apr 4,1:25pm,EUR,German Final Services PMI,Low,2024-04-04 13:25:00,False,50.1,49.8,
 Apr 4,1:30pm,EUR,Final Services PMI,Low,2024-04-04 13:30:00,False,51.5,51.1,better
 Apr 4,2:00pm,GBP,Final Services PMI,Low,2024-04-04 14:00:00,False,53.1,53.4,
 Apr 4,2:12pm,EUR,Spanish 10-y Bond Auction,Low,2024-04-04 14:12:00,False,3.19|1.8,,
 Apr 4,2:30pm,EUR,PPI m/m,Low,2024-04-04 14:30:00,False,-1.0%,-0.6%,worse
 Apr 4,2:32pm,EUR,French 10-y Bond Auction,Low,2024-04-04 14:32:00,False,2.87|1.9,,
 Apr 4,2:33pm,GBP,10-y Bond Auction,Low,2024-04-04 14:33:00,False,4.01|3.3,,
 Apr 4,5:00pm,EUR,ECB Monetary Policy Meeting Accounts,Low,2024-04-04 17:00:00,False,,,
 Apr 4,5:00pm,USD,Challenger Job Cuts y/y,Low,2024-04-04 17:00:00,False,0.7%,,
 Apr 4,6:00pm,CAD,Trade Balance,Low,2024-04-04 18:00:00,False,1.4B,0.7B,better
 Apr 4,6:00pm,USD,Unemployment Claims,High,2024-04-04 18:00:00,False,221K,213K,worse
 Apr 4,6:00pm,USD,Trade Balance,Low,2024-04-04 18:00:00,False,-68.9B,-66.9B,worse
 Apr 4,8:00pm,USD,Natural Gas Storage,Low,2024-04-04 20:00:00,False,-37B,-42B,worse
 Apr 4,9:45pm,USD,FOMC Member Barkin Speaks,Medium,2024-04-04 21:45:00,False,,,
 Apr 4,11:30pm,USD,FOMC Member Mester Speaks,Medium,2024-04-04 23:30:00,False,,,
 Apr 5,5:00am,JPY,Household Spending y/y,Low,2024-04-05 05:00:00,False,-0.5%,-2.8%,better
 Apr 5,5:00am,USD,FOMC Member Kugler Speaks,Low,2024-04-05 05:00:00,False,,,
 Apr 5,All Day,CNY,Bank Holiday,None,2024-04-05 00:00:00,True,,,
 Apr 5,6:00am,AUD,Goods Trade Balance,Low,2024-04-05 06:00:00,False,7.28B,10.50B,worse
 Apr 5,10:30am,JPY,Leading Indicators,Low,2024-04-05 10:30:00,False,111.8%,111.6%,
 Apr 5,11:30am,EUR,German Factory Orders m/m,Low,2024-04-05 11:30:00,False,0.2%,0.6%,worse
 Apr 5,11:30am,EUR,German Import Prices m/m,Low,2024-04-05 11:30:00,False,-0.2%,-0.1%,worse
 Apr 5,11:30am,GBP,Halifax HPI m/m,Low,2024-04-05 11:30:00,False,-1.0%,0.3%,worse
 Apr 5,12:15pm,EUR,French Industrial Production m/m,Low,2024-04-05 12:15:00,False,0.2%,0.5%,worse
 Apr 5,12:30pm,CHF,Foreign Currency Reserves,Medium,2024-04-05 12:30:00,False,715B,,
 Apr 5,12:30pm,CHF,SECO Consumer Climate,Low,2024-04-05 12:30:00,False,-38,-41,better
 Apr 5,2:00pm,GBP,Construction PMI,Medium,2024-04-05 14:00:00,False,50.2,49.8,better
 Apr 5,2:00pm,GBP,Housing Equity Withdrawal q/q,Low,2024-04-05 14:00:00,False,-25.1B,-22.3B,worse
 Apr 5,2:30pm,EUR,Retail Sales m/m,Low,2024-04-05 14:30:00,False,-0.5%,-0.3%,worse
 Apr 5,6:00pm,CAD,Employment Change,High,2024-04-05 18:00:00,False,-2.2K,25.9K,worse
 Apr 5,6:00pm,CAD,Unemployment Rate,High,2024-04-05 18:00:00,False,6.1%,5.9%,worse
 Apr 5,6:00pm,USD,Average Hourly Earnings m/m,High,2024-04-05 18:00:00,False,0.3%,0.3%,
 Apr 5,6:00pm,USD,Non-Farm Employment Change,High,2024-04-05 18:00:00,False,303K,212K,better
 Apr 5,6:00pm,USD,Unemployment Rate,High,2024-04-05 18:00:00,False,3.8%,3.9%,better
 Apr 5,6:45pm,USD,FOMC Member Barkin Speaks,Low,2024-04-05 18:45:00,False,,,
 Apr 5,7:30pm,CAD,Ivey PMI,Medium,2024-04-05 19:30:00,False,57.5,54.2,better
 Apr 5,10:00pm,USD,FOMC Member Bowman Speaks,Low,2024-04-05 22:00:00,False,,,
 Apr 6,12:30am,USD,Consumer Credit m/m,Low,2024-04-06 00:30:00,False,14.1B,16.2B,worse
 Apr 6,7:30pm,NZD,Daylight Saving Time Shift,None,2024-04-06 19:30:00,False,,,
 Apr 6,9:30pm,AUD,Daylight Saving Time Shift,None,2024-04-06 21:30:00,False,,,
 Apr 8,5:00am,JPY,Average Cash Earnings y/y,Low,2024-04-08 05:00:00,False,1.8%,1.8%,
 Apr 8,5:20am,JPY,Current Account,Low,2024-04-08 05:20:00,False,1.37T,1.99T,worse
 Apr 8,10:30am,JPY,Economy Watchers Sentiment,Low,2024-04-08 10:30:00,False,49.8,51.6,worse
 Apr 8,11:15am,CHF,Unemployment Rate,Low,2024-04-08 11:15:00,False,2.3%,2.2%,worse
 Apr 8,11:30am,EUR,German Industrial Production m/m,Low,2024-04-08 11:30:00,False,2.1%,0.6%,better
 Apr 8,11:30am,EUR,German Trade Balance,Low,2024-04-08 11:30:00,False,21.4B,25.1B,worse
 Apr 8,2:00pm,EUR,Sentix Investor Confidence,Low,2024-04-08 14:00:00,False,-5.9,-8.3,better
 Apr 8,8:45pm,CHF,SNB Chairman Jordan Speaks,Medium,2024-04-08 20:45:00,False,,,
 Apr 8,9:00pm,GBP,MPC Member Breeden Speaks,Low,2024-04-08 21:00:00,False,,,
 Apr 9,3:30am,NZD,NZIER Business Confidence,Low,2024-04-09 03:30:00,False,-25,,
 Apr 9,4:31am,GBP,BRC Retail Sales Monitor y/y,Low,2024-04-09 04:31:00,False,3.2%,1.8%,better
 Apr 9,6:00am,AUD,Westpac Consumer Sentiment,Low,2024-04-09 06:00:00,False,-2.4%,,
 Apr 9,7:00am,AUD,NAB Business Confidence,Low,2024-04-09 07:00:00,False,1,,
 Apr 9,10:30am,JPY,Consumer Confidence,Low,2024-04-09 10:30:00,False,39.5,39.6,
 Apr 9,11:28am,JPY,Prelim Machine Tool Orders y/y,Low,2024-04-09 11:28:00,False,-3.8%,,
 Apr 9,12:15pm,EUR,French Trade Balance,Low,2024-04-09 12:15:00,False,-5.2B,-7.0B,better
 Apr 9,3:30pm,USD,NFIB Small Business Index,Low,2024-04-09 15:30:00,False,88.5,88.8,
 Apr 9,7:36pm,USD,RCM/TIPP Economic Optimism,Low,2024-04-09 19:36:00,False,43.2,44.2,worse
 Apr 9,10:00pm,CHF,Gov Board Member Schlegel Speaks,Low,2024-04-09 22:00:00,False,,,
 Apr 10,5:20am,JPY,Bank Lending y/y,Low,2024-04-10 05:20:00,False,3.2%,3.1%,better
 Apr 10,5:20am,JPY,PPI y/y,Low,2024-04-10 05:20:00,False,0.8%,0.8%,
 Apr 10,7:30am,NZD,Official Cash Rate,High,2024-04-10 07:30:00,False,5.50%,5.50%,
 Apr 10,7:30am,NZD,RBNZ Rate Statement,High,2024-04-10 07:30:00,False,,,
 Apr 10,1:30pm,EUR,Italian Retail Sales m/m,Low,2024-04-10 13:30:00,False,0.1%,0.2%,worse
 Apr 10,6:00pm,CAD,Building Permits m/m,Low,2024-04-10 18:00:00,False,9.3%,-4.3%,better
 Apr 10,6:00pm,USD,Core CPI m/m,High,2024-04-10 18:00:00,False,0.4%,0.3%,better
 Apr 10,6:00pm,USD,CPI m/m,High,2024-04-10 18:00:00,False,0.4%,0.3%,better
 Apr 10,6:00pm,USD,CPI y/y,High,2024-04-10 18:00:00,False,3.5%,3.4%,better
 Apr 10,6:15pm,USD,FOMC Member Bowman Speaks,Low,2024-04-10 18:15:00,False,,,
 Apr 10,7:15pm,CAD,BOC Monetary Policy Report,High,2024-04-10 19:15:00,False,,,
 Apr 10,7:15pm,CAD,BOC Rate Statement,High,2024-04-10 19:15:00,False,,,
 Apr 10,7:15pm,CAD,Overnight Rate,High,2024-04-10 19:15:00,False,5.00%,5.00%,
 Apr 10,7:30pm,USD,Final Wholesale Inventories m/m,Low,2024-04-10 19:30:00,False,0.5%,0.5%,
 Apr 10,8:00pm,CAD,BOC Press Conference,High,2024-04-10 20:00:00,False,,,
 Apr 10,8:00pm,USD,Crude Oil Inventories,Low,2024-04-10 20:00:00,False,5.8M,0.9M,worse
 Apr 10,10:15pm,USD,FOMC Member Barkin Speaks,Medium,2024-04-10 22:15:00,False,,,
 Apr 10,10:31pm,USD,10-y Bond Auction,Medium,2024-04-10 22:31:00,False,4.56|2.3,,
 Apr 10,11:30pm,USD,FOMC Meeting Minutes,High,2024-04-10 23:30:00,False,,,
 Apr 10,11:30pm,USD,Federal Budget Balance,Low,2024-04-10 23:30:00,False,-236.5B,-209.4B,worse
 Apr 11,4:31am,GBP,RICS House Price Balance,Low,2024-04-11 04:31:00,False,-4%,-6%,better
 Apr 11,5:20am,JPY,M2 Money Stock y/y,Low,2024-04-11 05:20:00,False,2.5%,2.4%,better
 Apr 11,6:30am,AUD,MI Inflation Expectations,Low,2024-04-11 06:30:00,False,4.6%,,
 Apr 11,7:00am,CNY,CPI y/y,Medium,2024-04-11 07:00:00,False,0.1%,0.4%,worse
 Apr 11,7:00am,CNY,PPI y/y,Medium,2024-04-11 07:00:00,False,-2.8%,-2.8%,
 Apr 11,1:30pm,EUR,Italian Industrial Production m/m,Low,2024-04-11 13:30:00,False,0.1%,0.6%,worse
 Apr 11,2:00pm,GBP,BOE Credit Conditions Survey,Low,2024-04-11 14:00:00,False,,,
 Apr 11,All Day,EUR,Eurogroup Meetings,Low,2024-04-11 00:00:00,True,,,
 Apr 11,5:45pm,EUR,Main Refinancing Rate,High,2024-04-11 17:45:00,False,4.50%,4.50%,
 Apr 11,5:45pm,EUR,Monetary Policy Statement,High,2024-04-11 17:45:00,False,,,
 Apr 11,6:00pm,USD,Core PPI m/m,High,2024-04-11 18:00:00,False,0.2%,0.2%,
 Apr 11,6:00pm,USD,PPI m/m,High,2024-04-11 18:00:00,False,0.2%,0.3%,worse
 Apr 11,6:00pm,USD,Unemployment Claims,High,2024-04-11 18:00:00,False,211K,216K,better
 Apr 11,6:15pm,EUR,ECB Press Conference,High,2024-04-11 18:15:00,False,,,
 Apr 11,6:15pm,USD,FOMC Member Williams Speaks,Low,2024-04-11 18:15:00,False,,,
 Apr 11,7:30pm,USD,FOMC Member Barkin Speaks,Medium,2024-04-11 19:30:00,False,,,
 Apr 11,8:00pm,USD,Natural Gas Storage,Low,2024-04-11 20:00:00,False,24B,14B,worse
 Apr 11,10:20pm,GBP,MPC Member Greene Speaks,Low,2024-04-11 22:20:00,False,,,
 Apr 11,10:31pm,USD,30-y Bond Auction,High,2024-04-11 22:31:00,False,4.67|2.4,,
 Apr 11,11:00pm,USD,FOMC Member Bostic Speaks,Low,2024-04-11 23:00:00,False,,,
 Apr 12,4:00am,NZD,BusinessNZ Manufacturing Index,Low,2024-04-12 04:00:00,False,47.1,,
 Apr 12,4:15am,NZD,FPI m/m,Low,2024-04-12 04:15:00,False,-0.5%,,
 Apr 12,10:00am,JPY,Revised Industrial Production m/m,Low,2024-04-12 10:00:00,False,-0.6%,-0.1%,worse
 Apr 12,11:30am,EUR,German Final CPI m/m,Low,2024-04-12 11:30:00,False,0.4%,0.4%,
 Apr 12,11:30am,GBP,GDP m/m,High,2024-04-12 11:30:00,False,0.1%,0.1%,
 Apr 12,11:30am,GBP,Construction Output m/m,Low,2024-04-12 11:30:00,False,-1.9%,-0.4%,worse
 Apr 12,11:30am,GBP,Goods Trade Balance,Low,2024-04-12 11:30:00,False,-14.2B,-14.5B,better
 Apr 12,11:30am,GBP,Index of Services 3m/3m,Low,2024-04-12 11:30:00,False,0.2%,0.1%,better
 Apr 12,11:30am,GBP,Industrial Production m/m,Low,2024-04-12 11:30:00,False,1.1%,0.0%,better
 Apr 12,11:30am,GBP,Manufacturing Production m/m,Low,2024-04-12 11:30:00,False,1.2%,0.1%,better
 Apr 12,11:30am,GBP,MPC Member Greene Speaks,Low,2024-04-12 11:30:00,False,,,
 Apr 12,12:15pm,EUR,French Final CPI m/m,Low,2024-04-12 12:15:00,False,0.2%,0.2%,
 Apr 12,12:42pm,CNY,Trade Balance,Low,2024-04-12 12:42:00,False,416B,508B,worse
 Apr 12,12:43pm,CNY,USD-Denominated Trade Balance,Low,2024-04-12 12:43:00,False,58.6B,70.2B,worse
 Apr 12,All Day,EUR,ECOFIN Meetings,Low,2024-04-12 00:00:00,True,,,
 Apr 12,4:24pm,CNY,New Loans,Medium,2024-04-12 16:24:00,False,3090B,3700B,worse
 Apr 12,4:24pm,CNY,M2 Money Supply y/y,Low,2024-04-12 16:24:00,False,8.3%,8.7%,worse
 Apr 12,4:32pm,GBP,NIESR GDP Estimate,Low,2024-04-12 16:32:00,False,0.4%,,
 Apr 12,6:00pm,USD,Import Prices m/m,Low,2024-04-12 18:00:00,False,0.4%,0.3%,
 Apr 12,7:30pm,USD,Prelim UoM Consumer Sentiment,High,2024-04-12 19:30:00,False,77.9,79.0,worse
 Apr 12,7:30pm,USD,Prelim UoM Inflation Expectations,Medium,2024-04-12 19:30:00,False,3.1%,,
 Apr 13,12:00am,USD,FOMC Member Bostic Speaks,Low,2024-04-13 00:00:00,False,,,
 Apr 13,1:00am,USD,FOMC Member Daly Speaks,Low,2024-04-13 01:00:00,False,,,
 Apr 14,All Day,All,G7 Meetings,Low,2024-04-14 00:00:00,True,,,
 Apr 15,4:00am,NZD,BusinessNZ Services Index,Low,2024-04-15 04:00:00,False,47.5,,
 Apr 15,4:15am,NZD,Visitor Arrivals m/m,Low,2024-04-15 04:15:00,False,0.9%,,
 Apr 15,5:20am,JPY,Core Machinery Orders m/m,Low,2024-04-15 05:20:00,False,7.7%,0.8%,better
 Apr 15,12:00pm,CHF,PPI m/m,Low,2024-04-15 12:00:00,False,0.1%,0.2%,worse
 Apr 15,2:30pm,EUR,Industrial Production m/m,Low,2024-04-15 14:30:00,False,0.8%,0.8%,
 Apr 15,4:45pm,GBP,MPC Member Breeden Speaks,Low,2024-04-15 16:45:00,False,,,
 Apr 15,6:00pm,CAD,Manufacturing Sales m/m,Low,2024-04-15 18:00:00,False,0.7%,0.7%,
 Apr 15,6:00pm,CAD,Wholesale Sales m/m,Low,2024-04-15 18:00:00,False,0.0%,0.8%,worse
 Apr 15,6:00pm,USD,Core Retail Sales m/m,High,2024-04-15 18:00:00,False,1.1%,0.5%,better
